OTU,Phylum
OTU_1,Elusimicrobiota
OTU_2,Elusimicrobiota
OTU_3,Spirochaetota
OTU_4,Spirochaetota
OTU_5,Spirochaetota
OTU_6,Spirochaetota
OTU_7,Spirochaetota
OTU_8,Spirochaetota
OTU_9,Pseudomonadota
OTU_10,Spirochaetota
OTU_11,Spirochaetota
OTU_12,Spirochaetota
OTU_13,Bacteroidota
OTU_14,Spirochaetota
OTU_15,Bacteroidota
OTU_16,Mycoplasmatota
OTU_17,Spirochaetota
OTU_18,Bacillota
OTU_19,Bacteroidota
OTU_23,Bacteroidota
OTU_24,Bacteroidota
OTU_25,Pseudomonadota
OTU_26,Pseudomonadota
OTU_27,Bacteroidota
OTU_28,Bacteroidota
OTU_30,Pseudomonadota
OTU_31,Bacteroidota
OTU_33,Pseudomonadota
OTU_34,Spirochaetota
OTU_35,Pseudomonadota
OTU_36,Bacteroidota
OTU_37,Elusimicrobiota
OTU_38,Bacteroidota
OTU_39,Spirochaetota
OTU_40,Bacteroidota
OTU_41,Bacillota
OTU_42,Bacillota
OTU_44,Spirochaetota
OTU_46,Bacillota
OTU_47,Bacteroidota
OTU_48,Elusimicrobiota
OTU_49,Spirochaetota
OTU_50,Spirochaetota
OTU_51,Spirochaetota
OTU_52,Spirochaetota
OTU_53,Spirochaetota
OTU_54,Spirochaetota
OTU_55,Spirochaetota
OTU_56,Elusimicrobiota
OTU_57,Synergistota
OTU_58,Pseudomonadota
OTU_60,Bacteroidota
OTU_61,Bacteroidota
OTU_62,Spirochaetota
OTU_63,Spirochaetota
OTU_64,Spirochaetota
OTU_65,Elusimicrobiota
OTU_66,Verrucomicrobiota
OTU_67,Spirochaetota
OTU_68,Bacteroidota
OTU_69,Pseudomonadota
OTU_71,Spirochaetota
OTU_72,Bacteroidota
OTU_73,Bacteroidota
OTU_75,Bacillota
OTU_76,Bacteroidota
OTU_77,Bacillota
OTU_78,Bacillota
OTU_79,Bacillota
OTU_80,Spirochaetota
OTU_81,Pseudomonadota
OTU_82,Bacillota
OTU_83,Bacteroidota
