gene_id	fh1	fh2	hf3	ref1	ref2	ref3
"CE100114_10434"	17	10	5	23	10	6
"CE100464_580"	0	1	0	1	2	1
"CE100520_1543"	6	0	2	7	3	0
"CE100533_337"	1	2	0	2	0	0
"CE100719_908"	1	0	2	3	1	0
"CE101042_51"	1	0	0	1	0	0
"CE101166_1634"	5	2	2	4	4	1
"CE102061_1188"	4	2	1	4	1	1
"CE102182_17504"	15	9	3	21	10	11
"CE10220_885"	5	3	0	3	3	0
"CE102299_297"	1	0	0	2	0	2
"CE102324_553"	0	0	0	0	0	0
"CE102377_20103"	59	22	17	51	9	19
"CE102383_2395"	3	4	4	3	1	1
"CE102437_1000"	2	2	1	7	3	0
"CE103633_39"	0	0	0	0	0	0
"CE103951_49"	0	0	0	0	0	0
"CE103954_133"	0	0	0	1	0	0
"CE104076_1020"	10	2	3	6	3	2
"CE104155_119"	0	0	0	0	0	0
"CE104217_15088"	10	6	2	16	2	2
"CE104657_1470"	0	0	0	2	1	2
"CE104744_1351"	12	1	3	9	3	3
"CE105025_3086"	4	4	0	11	2	3
"CE105335_53"	0	0	0	0	1	0
"CE105517_8320"	35	5	4	40	13	11
"CE105524_12299"	23	12	4	33	11	7
"CE105572_8330"	9	3	3	13	8	6
"CE105740_361"	1	0	0	1	0	3
"CE105772_1217"	4	2	2	1	2	2
"CE106311_96"	0	0	0	0	0	0
"CE106437_1892"	7	1	2	8	0	1
"CE106523_520"	0	0	0	0	0	2
"CE106538_109"	1	0	1	1	0	0
"CE10660_3904"	17	1	4	8	5	5
"CE106800_116"	1	0	0	0	0	0
"CE106835_183"	0	0	0	0	0	1
"CE106967_17"	0	0	0	0	0	0
"CE107050_90"	0	0	0	0	0	0
"CE107109_54"	1	0	0	0	0	0
"CE107163_604"	2	1	0	5	1	3
"CE107180_21"	0	0	0	0	0	0
"CE107231_406"	1	1	0	2	0	1
"CE107256_854"	0	1	0	0	1	1
"CE107368_158"	0	0	0	2	0	0
"CE107498_35"	0	0	0	0	0	0
"CE107501_44"	0	0	0	0	0	0
"CE107687_417"	0	0	0	3	0	1
"CE107806_154"	0	0	0	0	0	0
"CE107812_1068"	4	0	0	2	1	1
"CE108012_241"	4	0	1	0	1	0
"CE108013_759"	5	3	3	7	0	2
"CE108059_577"	0	0	2	3	0	2
"CE108179_139"	1	0	0	1	0	1
"CE108280_271"	1	0	0	0	0	0
"CE108351_1492"	5	2	1	11	6	4
"CE108551_287"	0	0	0	2	1	3
"CE108583_300"	2	1	0	1	0	0
"CE108602_147"	1	1	0	1	0	0
"CE10870_1383"	1	0	0	0	0	2
"CE108865_85"	2	0	0	1	0	0
"CE109267_6495"	9	1	3	11	4	4
"CE109274_4878"	5	6	6	5	4	1
"CE109454_5654"	9	0	0	8	2	4
"CE109717_83"	0	0	0	0	0	0
"CE109724_32"	1	0	0	0	0	0
"CE109742_1268"	5	0	2	6	1	0
"CE109934_47"	0	0	0	1	0	0
"CE109975_357"	3	1	0	1	1	1
"CE110035_169"	1	0	0	0	0	0
"CE110036_319"	0	0	0	2	0	0
"CE110104_35"	1	0	0	0	0	0
"CE110124_309"	2	0	1	1	0	1
"CE110128_82"	0	0	0	0	0	0
"CE110269_918"	1	0	1	2	0	0
