#query	target	e-value	identity (%)	score
YAL001C				
YAL002W	Paxin1_129011	4e-43	20%	171
YAL003W	Paxin1_167503	1e-55	53%	175
YAL004W				
YAL005C	Paxin1_162475	0.0	79%	974
YAL005C	Paxin1_167442	0.0	64%	800
YAL005C	Paxin1_73182	0.0	64%	748
YAL005C	Paxin1_169045	0.0	50%	598
YAL005C	Paxin1_120135	5e-99	59%	303
YAL007C	Paxin1_69109	2e-20	27%	84.3
YAL007C	Paxin1_166164	9e-20	31%	82.4
YAL008W				
YAL009W				
YAL010C	Paxin1_68204	3e-37	27%	141
YAL011W				
YAL012W	Paxin1_138106	1e-134	52%	392
YAL012W	Paxin1_79654	7e-72	38%	241
YAL012W	Paxin1_174928	2e-49	31%	171
YAL012W	Paxin1_166655	8e-49	31%	170
YAL012W	Paxin1_103517	1e-39	34%	142
YAL013W	Paxin1_98873	9e-11	26%	63.2
YAL014C				
YAL015C	Paxin1_82761	3e-49	44%	170
YAL016C-A				
YAL016C-B				
YAL016W	Paxin1_152130	6e-160	43%	471
YAL017W	Paxin1_165117	2e-43	35%	167
YAL017W	Paxin1_26938	7e-43	34%	157
YAL017W	Paxin1_168752	7e-32	30%	134
YAL017W	Paxin1_156431	4e-28	36%	122
YAL017W	Paxin1_174169	9e-28	32%	120
YAL018C				
YAL019W	Paxin1_18333	6e-168	47%	526
YAL019W	Paxin1_164904	6e-87	37%	308
YAL019W	Paxin1_166865	8e-72	35%	261
YAL019W	Paxin1_130724	2e-65	31%	242
YAL019W	Paxin1_110641	2e-61	30%	224
YAL019W-A				
YAL020C				
YAL021C	Paxin1_70889	1e-132	40%	409
YAL021C	Paxin1_159719	3e-12	22%	68.2
YAL022C				
YAL023C	Paxin1_119868	0.0	49%	682
YAL023C	Paxin1_135577	1e-132	38%	416
YAL023C	Paxin1_165734	6e-96	29%	314
YAL024C	Paxin1_115260	5e-17	27%	86.3
YAL024C	Paxin1_154335	8e-16	28%	82.4
YAL024C	Paxin1_13439	1e-13	44%	75.1
YAL024C	Paxin1_175648	5e-11	24%	66.6
YAL025C	Paxin1_165604	8e-88	47%	265
YAL026C	Paxin1_89754	2e-180	39%	562
YAL026C	Paxin1_19496	3e-166	53%	506
YAL026C	Paxin1_103357	7e-136	65%	418
YAL026C	Paxin1_98711	6e-130	39%	421
YAL026C	Paxin1_157254	7e-123	65%	385
YAL026C-A				
YAL027W				
YAL028W				
YAL029C	Paxin1_168015	0.0	45%	887
YAL029C	Paxin1_168607	1e-80	28%	293
YAL029C	Paxin1_19902	2e-77	32%	271
YAL029C	Paxin1_167130	6e-47	24%	184
YAL029C	Paxin1_85189	8e-24	28%	108
YAL030W	Paxin1_168753	1e-35	61%	117
YAL030W	Paxin1_132823	3e-15	39%	67.8
YAL031C				
YAL031W-A				
YAL032C	Paxin1_98716	3e-16	42%	79.0
YAL033W				
YAL034C				
YAL034C-B				
YAL034W-A				
YAL035W	Paxin1_160497	0.0	66%	860
YAL035W	Paxin1_180879	1e-26	30%	116
YAL036C	Paxin1_160784	3e-160	66%	452
YAL036C	Paxin1_164981	2e-124	51%	362
YAL037C-A				
YAL037C-B				
YAL037W				
YAL038W	Paxin1_165218	0.0	63%	612
YAL039C	Paxin1_65861	9e-55	49%	175
YAL039C	Paxin1_73953	3e-33	33%	120
YAL039C	Paxin1_93052	3e-33	33%	119
YAL040C	Paxin1_63339	3e-20	32%	92.4
YAL041W	Paxin1_166810	6e-63	37%	228
YAL042C-A				
YAL042W	Paxin1_167742	7e-70	33%	225
YAL042W	Paxin1_101659	1e-19	23%	88.6
YAL042W	Paxin1_167895	4e-16	22%	79.3
YAL042W	Paxin1_130130	5e-13	34%	64.7
YAL043C	Paxin1_106660	9e-12	27%	67.8
YAL044C	Paxin1_64798	1e-28	43%	103
YAL044W-A	Paxin1_166851	3e-18	40%	72.8
YAL045C				
YAL046C	Paxin1_67877	3e-21	54%	80.5
YAL047C				
YAL047W-A				
YAL048C	Paxin1_130103	4e-159	40%	471
YAL049C	Paxin1_172648	4e-53	41%	171
YAL049C	Paxin1_172426	3e-47	39%	155
YAL049C	Paxin1_66410	1e-33	33%	121
YAL049C	Paxin1_175627	3e-14	29%	69.3
YAL049C	Paxin1_119593	6e-14	32%	67.0
YAL051W				
YAL053W	Paxin1_129191	2e-33	24%	136
YAL054C	Paxin1_11037	1e-157	53%	466
YAL054C	Paxin1_167195	2e-31	24%	129
YAL054C	Paxin1_178709	3e-30	23%	126
YAL054C	Paxin1_176643	3e-28	26%	119
YAL054C	Paxin1_9848	3e-26	25%	112
YAL055W				
YAL056C-A				
YAL056W				
YAL058W	Paxin1_165448	3e-52	33%	184
YAL059C-A				
YAL059W				
YAL060W	Paxin1_166363	2e-37	30%	138
YAL060W	Paxin1_137983	3e-32	26%	123
YAL060W	Paxin1_159724	7e-25	30%	103
YAL060W	Paxin1_165735	2e-24	27%	102
YAL060W	Paxin1_169671	2e-24	26%	101
YAL061W	Paxin1_166363	2e-28	27%	114
YAL061W	Paxin1_103422	3e-25	28%	104
YAL061W	Paxin1_137983	7e-25	25%	103
YAL061W	Paxin1_139583	2e-24	28%	102
YAL061W	Paxin1_169671	5e-23	26%	98.2
YAL062W				
YAL063C				
YAL063C-A				
YAL064C-A				
YAL064W				
YAL064W-B				
YAL065C				
YAL066W				
YAL067C	Paxin1_120761	1e-70	31%	234
YAL067C	Paxin1_103622	2e-70	31%	234
YAL067C	Paxin1_114110	1e-31	26%	127
YAL067C	Paxin1_166322	3e-28	26%	117
YAL067C	Paxin1_168924	1e-26	25%	112
YAL067W-A				
YAL068C				
YAL068W-A				
YAL069W				
YAR002C-A	Paxin1_165695	5e-44	36%	145
YAR002W				
YAR003W	Paxin1_160518	4e-49	30%	172
YAR007C	Paxin1_113181	6e-120	35%	368
YAR008W	Paxin1_10464	2e-30	29%	115
